source_id,window_id,repo,task_id,agent_id,stage,terminal_status,scoreable_cell,verified_pass,policy_valid_cell,policy_pass,policy_outcome_value,failure_category,source_artifact_path,cost_observation_kind
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__025,kilo_claude_sonnet_4_6,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__025,kilo_gpt_5_4,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__025,kilo_gpt_5_4_mini,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__026,codex_gpt_5_4,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__026,kilo_claude_sonnet_4_6,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__026,kilo_gpt_5_4,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__026,kilo_gpt_5_4_mini,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__027,codex_gpt_5_4,holdout,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__027,kilo_claude_sonnet_4_6,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__027,kilo_gpt_5_4,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__027,kilo_gpt_5_4_mini,holdout,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__028,codex_gpt_5_4,holdout,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__028,kilo_claude_sonnet_4_6,holdout,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__028,kilo_gpt_5_4,holdout,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__028,kilo_gpt_5_4_mini,holdout,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/holdout_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__001,codex_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__001,kilo_claude_sonnet_4_6,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__001,kilo_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__001,kilo_gpt_5_4_mini,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__008,codex_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__008,kilo_claude_sonnet_4_6,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__008,kilo_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__008,kilo_gpt_5_4_mini,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__010,codex_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__010,kilo_claude_sonnet_4_6,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__010,kilo_gpt_5_4,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__clean_ext__010,kilo_gpt_5_4_mini,selection,verified_pass,True,True,True,True,1,verified pass,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__006,codex_gpt_5_4,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__006,kilo_claude_sonnet_4_6,selection,invalid_output,False,False,True,False,0,no meaningful change,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__006,kilo_gpt_5_4,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
boltons_demo_development,boltons_selection_holdout_2026_06_14,boltons,boltons__hist__006,kilo_gpt_5_4_mini,selection,verified_fail,True,False,True,False,0,hidden verifier failure,experiments/agent_selection_demo/results/selection_score_table.csv,no_paid_committed_sanitized_outcomes
