status,candidate_filter_status,reject_reason,manual_review_reasons,changed_line_count
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,215
rejected,rejected,reject_subject_term:mypy;project_file_heavy;changed_lines_over:250,cross_module_count_over:3;docs_or_config_change_present,550
rejected,rejected,reject_subject_term:typing;no_behavior_code_file;changed_lines_over:250;no_changed_test_file,,550
rejected,rejected,reject_subject_term:mypy;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,8
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,6
rejected,rejected,reject_subject_term:mypy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:mypy;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:mypy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,176
rejected,rejected,reject_subject_term:mypy;no_behavior_code_file;no_changed_test_file,,176
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,37
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,89
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,37
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,89
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,38
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,84
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,95
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,66
rejected,rejected,no_behavior_code_file;changed_lines_over:250;no_changed_test_file,,285
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,15
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:release;no_changed_test_file,,2
rejected,rejected,reject_subject_term:docs;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,14
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,30
rejected,rejected,reject_subject_term:typing;project_file_heavy;no_changed_test_file,docs_or_config_change_present,60
rejected,rejected,no_behavior_code_file;no_changed_test_file,,104
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:mypy;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:mypy;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:bump;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,4
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,2
rejected,accepted,no_changed_test_file,,17
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,35
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:release;no_changed_test_file,,2
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,,45
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,,6
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,reject_subject_term:dependabot;no_behavior_code_file;no_changed_test_file,,8
rejected,rejected,reject_subject_term:pre-commit;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
